1442243516.103240000|192.168.0.4|19769|54.230.131.46|80||||Sep 14, 2015 20:41:56.103240000|0|0|0|1
1442243516.333257000|192.168.0.6|62862|192.168.0.4|41440||||Sep 14, 2015 20:41:56.333257000|0|0|0|1
1442243516.333258000|54.230.131.46|80|192.168.0.4|19769||||Sep 14, 2015 20:41:56.333258000|0|0|0|1
1442243516.384065000|192.168.0.4|41440|192.168.0.6|62862||||Sep 14, 2015 20:41:56.384065000|0|0|0|1
1442243517.049767000|74.125.68.189|443|192.168.0.4|19710||||Sep 14, 2015 20:41:57.049767000|0|0|0|1
1442243517.102943000|192.168.0.4|19710|74.125.68.189|443||||Sep 14, 2015 20:41:57.102943000|0|0|0|1
1442243517.223070000|192.168.0.4|19781|54.230.129.151|80||||Sep 14, 2015 20:41:57.223070000|0|0|0|1
1442243517.459411000|54.230.129.151|80|192.168.0.4|19781||||Sep 14, 2015 20:41:57.459411000|0|0|0|1
1442243517.469149000|108.160.167.162|443|192.168.0.4|19856||||Sep 14, 2015 20:41:57.469149000|0|0|0|1
1442243517.472659000|192.168.0.4|19856|108.160.167.162|443||||Sep 14, 2015 20:41:57.472659000|0|0|0|1
1442243517.730525000|192.168.0.4|19810|46.101.21.78|80||||Sep 14, 2015 20:41:57.730525000|0|0|0|1
1442243517.785144000|108.160.167.162|443|192.168.0.4|19856||||Sep 14, 2015 20:41:57.785144000|0|0|0|326
1442243517.875466000|143.127.93.89|80|192.168.0.4|19806||||Sep 14, 2015 20:41:57.875466000|0|0|0|1
1442243517.875528000|192.168.0.4|19806|143.127.93.89|80||||Sep 14, 2015 20:41:57.875528000|0|0|0|1
1442243517.887368000|46.101.21.78|80|192.168.0.4|19810||||Sep 14, 2015 20:41:57.887368000|0|0|0|1
1442243518.278715000|192.168.0.6|62863|192.168.0.4|41440||||Sep 14, 2015 20:41:58.278715000|0|0|0|1
1442243518.278716000|143.127.93.89|80|192.168.0.4|19806||||Sep 14, 2015 20:41:58.278716000|0|0|0|2
1442243518.330754000|192.168.0.4|41440|192.168.0.6|62863||||Sep 14, 2015 20:41:58.330754000|0|0|0|1
1442243518.670240000|192.168.0.4|19779|54.230.129.151|80||||Sep 14, 2015 20:41:58.670240000|0|0|0|1
1442243518.861149000|192.168.0.4|19809|46.101.21.78|80||||Sep 14, 2015 20:41:58.861149000|0|0|0|1
1442243518.862663000|54.230.129.151|80|192.168.0.4|19779||||Sep 14, 2015 20:41:58.862663000|0|0|0|1
